name,count
bronx,54.464168117
zoo,11.8908986315
juice,11.7718457066
botanical,11.6619800289
flat,11.5837521356
stay bronx,11.5553286201
bronx zoo,11.0982829955
orange juice,11.0411581031
orange,10.7555834148
parents,10.6243055606
bus stop,9.69332808133
garden,9.08302261129
front,9.03915143891
park,8.94778071345
square,8.53704273603
der,7.88884195179
downtown,7.58226659928
botanical garden,7.49919435089
30,7.28027881833
store,7.07411851741
war,7.04969315006
using,6.89710624895
ok,6.71522008397
sleep,6.51393367956
times square,6.20145567368
room clean,6.13076111017
uns,6.07878163573
dans,6.03913128269
neighborhood quiet,5.9859999468
og,5.97532411936
across,5.94468474701
fine,5.92519419174
almost,5.83550916095
clean quiet,5.7918760678
avons,5.78935740148
parkway,5.77225015897
due,5.76197478957
friend,5.74758854079
cookies,5.70946566391
fast,5.58693328368
give,5.50209218021
given,5.46268162732
wifi,5.44647521688
donuts,5.41378543488
botanical gardens,5.4115611981
new city,5.4061365815
keyless,5.34654815633
metro station,5.31553343459
touch,5.21448711606
worked,5.21448711606
deal,5.1763982423
