name,count
breads,106.526547057
banana,78.3720381786
every day,47.3960989761
cake,46.043206373
really enjoyed staying,41.2749750318
throat,37.2919116858
staten island,37.1280578057
staten,37.1280578057
good place live,35.9304230664
enjoyed staying,35.9134479874
handmade,35.1015684028
ferry,34.313972513
enjoyed staying house,33.2496595442
sore,33.2496595442
island,32.1821862294
staying house,30.4235686111
ai,30.4235686111
live new,30.2304615975
yum,30.2304615975
morning made,29.4551198401
talking,28.7538155891
chez,28.2816372737
ai passe,28.2646786392
someday,27.6032109815
je,26.7914960566
cozy home,26.3804315981
table,25.8171808657
delicious,25.682195655
sentis,25.6293353131
host nice,25.4152212702
buses,25.4152212702
je suis,25.2706929317
good place,25.0220324059
strongly recommend place,24.4183051996
best host ever,24.0935927956
suis,24.0935927956
respected,23.9344695742
care,23.5298334735
place live,23.3182510381
bread,23.0216031865
really like,22.1732300335
host ever,22.1732300335
ses,21.9032495126
best experience,20.7582285079
room exactly described,20.6374875159
comme,20.0513406541
every morning,19.8246617106
vraiment,19.8246617106
strongly recommend,19.7129062296
passe,19.7129062296
best host,19.4924665112
