name,count
boardwalk,151.062350152
ocean,100.023497809
friend,82.1607063281
staten island,78.9754078726
staten,78.9754078726
beach,72.0768467717
view,56.384762259
us help,54.9065267597
island,51.3412517496
marathon,50.9112140132
ferry,48.6596953913
place made,48.353652338
apartment lovely,46.308217813
needed place close,41.2953169203
room visit,41.2953169203
opportunity come,41.2953169203
know host,41.2953169203
bus ferry,41.2953169203
left bed,41.2953169203
planning,41.231329361
won go wrong,40.7273503153
new nice host,40.7273503153
worked perfectly well,40.7273503153
stayed place night,40.7273503153
hopefully staying,40.7273503153
apartment lovely area,40.1835599612
staying beautiful home,40.1835599612
even drove us,40.1835599612
anticipated needs,40.1835599612
finding places,40.1835599612
help finding,40.1835599612
well absolutely,40.1835599612
immaculate quiet,40.1835599612
hostess lovely,40.1835599612
welcoming beautiful,39.661971428
walk experience,39.661971428
cannot fault,39.661971428
bedroom looks,39.661971428
information maps,39.661971428
felt home away,39.1608426986
fault apartment,39.1608426986
fave,39.1608426986
strolls,39.1608426986
home friend,38.6786290649
go day,38.2139544109
walking along,38.2139544109
stocked basic,38.2139544109
ferry manhattan,38.2139544109
host flexible accommodating,37.7655875381
use next,37.7655875381
host property,37.7655875381
