name,count
beach,155.535053232
boat,49.271227368
jak,47.9030610065
rockaway,39.7301571815
jfk,20.4301698258
surf,19.6759230724
cabin,18.2031631825
ocean,16.9129374138
weekend,16.8627762264
getaway,16.2499309347
boardwalk,14.5960449561
husband,14.3469082446
deck,12.4203396679
surfing,12.0000843155
bikes,10.8103189642
beaches,10.6772659072
airport,10.5313481853
view,9.98808302594
peaceful,9.92145584766
responsive,9.12937317789
fun,9.09466786035
short walk,8.8613256805
dock,8.77734543426
guest,8.6812738667
relaxing,8.34844868978
evening,7.97623767862
spot,7.8544858794
grill,7.80065201184
shop,7.79293737209
cool,7.65702049968
still,7.54165610348
gracious,7.32809421518
neighbors,7.30279192589
terrace,7.28255979015
planes,7.18146444621
vacation,7.11210234779
bike,7.00808721637
highly recommended,6.95631057494
supermarket,6.8925885883
even though,6.85101834182
care,6.85101834182
camping,6.79462375914
community,6.696769978
across,6.59797650283
store,6.5138615246
chairs,6.505892207
couldn,6.35086829766
condo,6.31584396164
wife,6.23272862841
modern,6.22843422434
15,6.16930837551
