name,count
studio,59.2766936684
puo,47.1580552136
per,43.7274648972
если,37.7824058101
ocean,36.3523212806
appartamento,36.0533583636
все,35.8226126611
очень,35.1470913013
chi,34.1563778571
минут,32.7759333132
vicino,30.5909463139
18th,28.8293203009
метро,27.9391108891
на,27.0400187727
соответствует,26.8314959302
ci,26.6960236993
хозяева,26.5366332253
russian,26.2508446738
husband,25.3951359033
per chi,25.1882705401
stay place comfortable,24.6993473882
qualsiasi,24.2348808537
delle,24.0110773716
surprise,22.9888263893
porta,22.7709185714
coffee etc,22.5794191047
non,22.4775362479
da,22.2287601257
нью,21.6770209845
noi,21.3392603046
рядом,21.3392603046
underneath,21.1748773391
view,20.4923546754
entrance,20.2763644165
piu,19.2668379819
staten island,19.1350996725
staten,19.1350996725
до,18.8770998853
anche,18.7507388192
close restaurants,18.6260739261
best hosts,18.5030602722
upper,18.2618156673
sono,18.1435033019
30,17.9161844477
walks,17.9113063305
studio apartment,17.6847732686
complimentary,17.6847732686
friendly hosts,17.2476386994
going back,17.2476386994
comoda,16.5289181797
molto,16.4306379495
