name,count
view,61.0259167497
battery park,38.7971820505
battery,36.9412118109
river,35.832114001
building,29.8587996801
trade,27.0547513833
world trade,26.9508484654
trade center,24.313379514
park,23.1711012399
views,22.7897907898
world trade center,22.5343517447
memorial,21.7498981709
11 memorial,19.8706202725
world,18.6764958052
liberty,18.6184415335
financial district,16.6594524577
financial,16.529823644
statue,16.1373093551
center,15.7482181644
statue liberty,14.5247024241
district,13.9173898403
11,12.6271553747
view river,12.2302081661
tower,11.2671758723
freedom tower,10.9477099686
doorman,10.7695924417
wtc,10.6192671349
responsive,10.4857810984
stations,10.4803754769
rooftop,9.94965553232
zero,9.93222998442
apt,9.70664436441
flat,9.65643188849
ground zero,9.38917846847
along river,9.32380203014
tribeca,9.10871753805
floor,8.48060000746
freedom,8.45720720247
wall,7.91909436817
one world trade,7.79680443366
ferry,7.76275754234
host apartment,7.64954194046
appartment,7.56765488153
stay apartment,7.44068085774
lower manhattan,7.43266967813
along,7.36857982433
location perfect,7.3247526346
window,7.20729036337
one world,7.15415983464
store,6.95905014927
flexible,6.81928700957
