name,count
returned,220.536638316
buzzer,202.984369
00 pm,179.994205373
pm,176.911084468
upset,170.816757712
courtesy,168.005960347
10 minutes,155.027796211
fact,151.78474508
flexible,136.225262309
00,122.836473489
stated,119.305048639
even given,113.539930285
extra information,113.539930285
rest would,113.539930285
talked phone,111.978327334
asked host,111.978327334
curfew,111.978327334
however host,110.483196082
spend one night,110.483196082
earlier,110.268319158
cleanly,109.049107907
arrived asked,107.671273197
fairly convenient,107.671273197
communication could,106.345444836
strictly,103.835071287
check early morning,103.835071287
new small,103.835071287
city got,102.644100219
harsh,102.644100219
location fairly,101.4921845
doorbell,101.4921845
unhappy,101.4921845
despite,101.189830054
stating,100.376843778
given,99.0923440314
11 00,97.2287433814
10 20,96.2390925321
requiring,96.2390925321
wasn even,95.276558845
found helpful,94.3396958071
time wasn,94.3396958071
returned home,93.4271696472
pressed,93.4271696472
kept comfortable,92.5377479155
hours earlier,90.8237356941
spend one,90.8237356941
plus side,90.8237356941
arrived found,89.1894744307
host quite,87.6278714804
assumed,87.6278714804
due fact,86.8723524283
