name,count
lirr,38.5834334712
mom,34.9018416462
casa,32.844303975
tiene,24.0881783331
comfortable stay,20.0776588283
boulevard,19.4937715266
host making sure,19.0953543927
agua caliente,18.9043725225
best experience airbnb,18.5374245265
helped us,18.4826864999
caliente,18.1888317806
responsive,17.9286743509
indicaciones,17.8568451229
access bus,17.5399540904
via bus,16.9463699153
us things,16.6675166426
flushing,16.6675166426
steps,16.3194825095
enjoyed stay nice,16.2690995087
agua,15.6518467126
lo,15.6279509716
stay good,15.3799803774
room nice,15.298613404
extend stay,15.0848348879
host making,15.0848348879
pubs,14.6622568903
house host,14.6622568903
neighborhood beautiful,14.4602020993
stay nice,14.4430311945
recommend anyone,14.368613775
hour get,14.1676947533
до,14.1676947533
set,14.1484876801
conocer,14.0728578862
extend,13.886969478
via,13.6521963963
wifi,13.6521963963
book,13.5831822625
friends stayed,13.5294345856
cama,13.2728263862
tambien,13.1893475177
1st,13.1893475177
очень,13.1893475177
todas,13.106856588
good restaurants,12.9447469047
responsive questions,12.6314176515
staying next,12.6314176515
recently,12.4053307339
comoda,12.4053307339
estacion,12.258580004
minutos,12.114855279
