name,count
astoria,101.764405925
mrs,47.0985161533
jfk,42.3856198277
beach,40.6362690457
airport,31.5129059317
near jfk,29.07554455
hospital,27.4338926044
fridge,24.9558879054
rockaway,22.0785260626
ms,20.6371994494
close jfk,19.5369287011
leave,19.0041136537
rotation,18.7974453652
st,18.2370766317
informed,16.9922584468
city new,16.8134772394
booking,16.6708510532
jfk airport,16.5961260046
touch,16.1634771263
hair,15.7603947552
informed would,15.5212821117
basement,14.6687140173
near airport,14.3631193862
home people,14.0317862854
locating,13.8743156158
dogs,13.3778890058
flight,13.3366808425
defiantly,13.2141629191
floor,13.064184544
fridge nice,12.8965468737
fun,12.8647687245
nice touch,12.7441938351
via,12.5413425346
20,12.4779439527
felt like,12.3523885663
room clean,12.3523885663
mins walk,12.1617646224
feel like part,11.9790184007
rules,11.9549474208
incident,11.87573646
perfect stay,11.6229237825
station less,11.5785844654
mother,11.5583167332
like part family,11.4834838301
proximity,11.430815392
host came,11.2987523959
grocery store,10.8834404466
house warm,10.8658085009
leaving,10.7672502226
make feel,10.7098504152
sleeping,10.7098504152
