name,count
decorations,105.948491514
didnt,84.9557261227
us toiletries,83.6667997622
host accommodating even,83.6667997622
place stay wife,83.6667997622
lot day,83.6667997622
needed even left,82.5160652055
always answered messages,82.5160652055
place clean bathroom,81.4143131894
us door showed,81.4143131894
quaint little,81.4143131894
host eager,80.3575434
though didnt,80.3575434
us list restaurants,79.3422264057
didnt bother,79.3422264057
day though,79.3422264057
became home,78.3652325346
map area,78.3652325346
comfortable bit,77.4237736931
keurig coffee maker,76.5153553985
door showed us,76.5153553985
location arrived,76.5153553985
place loved staying,76.5153553985
accommodating not,75.6377369469
apartment left us,74.7888981146
hear,74.5660951865
clean bathroom clean,73.9670111484
amazing host accommodating,73.9670111484
got hang,73.1704170665
talked lot,73.1704170665
comfy loved,72.3976054989
night sleeping,71.6471974506
around needed,71.6471974506
annual,71.6471974506
nuts,71.6471974506
door showed,70.9179304937
clean whole,70.2086459886
bark,69.5182780097
kitchen place,69.5182780097
keurig coffee,68.84584371
welcoming loved,68.84584371
left snacks,68.84584371
greeted us door,68.1904349059
nice place,67.9475824621
accommodating even though,67.5512107006
list restaurants,66.3182507757
could not accommodating,66.3182507757
night around,66.3182507757
loved staying would,65.7231150256
loved walking,65.7231150256
one could need,64.0156436355
