name,count
long island,35.3651001571
нас,33.7247160847
дом,26.6904924251
shopping,23.4274026407
island,22.8333561769
toilet,21.5217102103
первыи,20.899532576
лучше,20.899532576
просто,20.6421826608
shopping center,20.3941930263
jfk,20.0611136774
все,19.7261785121
была,19.7001405591
shown,19.641452049
очень,19.3541940603
new city,19.0352221651
toilet paper,18.9952644222
bathrooms,18.8783666344
us arrived showed,18.8725853172
husband,18.6455406033
раз,18.4936565361
clean well,18.4547972591
helped us,18.0811320548
beds,17.9892938168
ab,17.9620396382
flush,17.9620396382
wohnung,17.6736293207
paper,17.3682799261
так,16.8623580424
mrs,16.7187956156
well maintained,16.3207336658
flushing,16.3053985384
maintained,15.8778746652
arrived showed us,15.667647772
location even,15.5469550035
house clean comfortable,15.4283613465
two bathrooms,15.0844752015
mit dem,14.9735953048
что,14.9735953048
preis,14.9735953048
clean spacious,14.7310890368
как,14.6513796125
arrived showed,14.5472712789
spacious quiet,14.2441563369
helped us find,14.2441563369
ni,14.1460400628
safe neighborhood,14.0564415844
condo,13.9539438839
enjoyable,13.8410979443
front house,13.7671112817
three,13.6301946972
