name,count
went beyond host,173.688202201
text needed anything,173.688202201
suggestions even,169.14472608
plenty space apartment,169.14472608
offered pick us,164.951107643
always readily available,162.969429369
wine arrival,162.969429369
nice host house,162.969429369
morning always,162.969429369
anything overall,162.969429369
use really,161.057298198
always readily,161.057298198
overall really nice,159.209997667
didn disappoint,159.209997667
gave us restaurant,159.209997667
made weekend,155.693284169
text needed,152.38983962
minute walk house,152.38983962
explore would,150.810304477
nice change,150.810304477
tons restaurants bars,149.275269253
beyond host,147.782295124
us restaurant,142.188655189
neighborhood didn,140.875576064
offered pick,139.593395803
local stores,135.918510505
time went,133.599430863
restaurant suggestions,131.375034385
apartment everyone,128.199953021
available text,127.181415947
recommend place wonderful,126.181568685
disappoint,126.181568685
host offered,125.199737674
tons restaurants,124.235285117
us morning,124.235285117
umbrellas,116.246840272
walk house,116.246840272
pick us,115.427424125
ten minute walk,114.620147924
packed,113.040612781
bikes,112.267689937
really nice host,111.505577557
house neighborhood,111.505577557
ten minute,110.753977408
space apartment,109.281181079
residential area,109.281181079
mainly,107.847147082
overall really,107.144038657
restaurants bars,105.764467581
chairs,104.418963493
beach,102.461023032
