name,count
beds,47.1570270813
ni,37.0823447062
twin bed,31.796829084
wasn,29.1752176818
couch,27.9002405677
jfk,26.2940416283
room single,26.1139773966
twin,25.2088268203
us showing,24.9953199273
room beds,24.4844611788
flight jfk,24.2395802466
tea,24.0649432791
waiting outside,24.0012302572
holiday weekend,23.7690718822
ok,23.6988856441
loin,23.5773099605
tiny,22.8966362453
autobus,22.2936559457
morning made,21.9132753526
fait,21.6309429724
lady,21.2734179884
place stay night,20.8605782927
sure everything need,20.5355390213
qui,19.616200793
place around,19.4828419615
plastic,19.3420895264
table,19.2068134915
du,19.2068134915
adult,19.2035193877
indian,19.2035193877
given,18.9077737543
flight,18.6152590439
comer,18.5411723531
trop,18.5411723531
amazing host,18.328990679
booked,17.5942099558
stay night,17.5740031699
bruit,17.5740031699
good night sleep,17.1270302896
fois,16.9116561353
good night,16.2950257983
prendre,16.2950257983
hardly,16.2950257983
futon,16.0019636448
strong,16.0019636448
direction,15.9063734832
type,15.9063734832
concerned,15.7182066403
showing,15.6255882477
chair,15.6255882477
ca,15.533919804
