name,count
bronx,106.231277809
bronx zoo,82.4646875434
zoo,66.2656043726
little italy,37.501502934
italy,32.8409410796
botanical,27.7290183244
botanical gardens,24.1260402265
university,18.9025622492
neat,17.4323278189
flexible,17.1692886924
apartment clean comfortable,17.050230511
gardens,16.7645451983
good room,15.7739141374
options,15.3850848397
money,14.9091948667
good place,14.755185889
nice willing,14.7051875932
good cheap,14.4099329306
muito,14.2692584112
15,14.16054498
keep,14.16054498
bed comfortable,13.8752544641
fridge,13.8051127345
exactly described,13.6662031296
sleep,13.6662031296
sweet kind,13.2531208745
clean neat,12.6466103496
room basic,12.6017081661
waited,12.5770044479
cheap place,12.4011856242
check time,12.2378117651
chambre,12.2378117651
increible,12.0215086616
considerate,11.5388136298
building,11.5388136298
highest,11.4984752202
shown,11.4782063028
stay thank,11.418056394
students,11.4160981169
quite small,11.3349787286
get station,11.1763634655
apt,11.1239335302
rating,11.0223463998
actually,10.8962087496
downtown,10.6748104826
weekend,10.620408735
nice clean,10.5663758155
ok,10.5663758155
bathroom small,10.4473841718
friendly helpful,10.4064408481
wasn,10.4064408481
