name,count
vous,14.8946236685
building,12.4799973166
safe neighborhood,11.845895496
block,11.1983633289
room clean,11.0856833201
line,10.4423407676
apt,10.1803111299
flat,10.1276483756
clean room,9.85803402506
used,9.47553820139
guys,8.87223062255
shops,8.70195063966
coney island,8.6724471599
coney,8.6097936693
30,8.52744870774
da,8.46406163596
studio,8.46406163596
18th,8.23302140684
ac,7.88642722005
neat,7.8317555757
wifi,7.79210345875
на,7.72203614491
square,7.59962480237
russian,7.49666533553
host nice,7.48130273896
due,7.32753682567
hot,7.14139307489
definitely come back,7.12708255955
island,7.10493552538
give,6.99704260103
definitely come,6.97488913791
spacious clean,6.9376079455
convenient location,6.86393205729
clean spacious,6.68470193251
shown,6.68470193251
towel,6.67824236939
40,6.64967170207
responded,6.58039454285
money,6.51213620237
good place,6.4448671481
key,6.41159472246
italian,6.35316558223
husband,6.34575697317
floor,6.31318502546
casa,6.24871894053
нью,6.19048163255
cereal breakfast,6.17476605513
quite safe neighborhood,6.17476605513
ok,6.15366817517
beds,6.1224122759
asked,6.09136544776
