name,count
husband,41.2469894555
basement,32.9108452964
fridge,27.9956158773
studio,27.5079129665
coffee making,27.4757735159
making facilities,27.1089178159
basement studio,26.0936506762
home comfortable clean,25.4776881348
beach,24.312496422
soon,22.7401509075
sleep,22.1711350383
jamaica,21.3155986246
mrs,21.134122282
kitchen bedroom,20.6115496887
late hours,20.4441695191
finding parking,20.2799777378
finding,19.5345399416
avion,19.2106677384
comfortable clean,18.9187229931
ms,18.5207149755
get places,18.5207149755
consideration,18.3891122988
decorated,18.1407613493
looked,18.046726667
size,17.9533709413
environ,17.8819184926
living room,17.8606844381
husband nice,17.6390909452
tea,17.4069637852
wanted stay,17.4029170514
pendant,17.4029170514
transport,17.3180994365
keep,17.2298416752
queen size,17.1730418848
greeted,17.0551131806
stay night,16.9491381823
happen,16.6238238055
long stay,16.208330948
not good,16.1075133322
home comfortable,16.1075133322
mon,15.3408030907
concerned,15.1593267481
00,15.0700015147
queen,14.3868871558
showed us around,14.3051822039
settled,14.224244446
logement,13.9858935581
comfortable wonderful stay,13.9294695848
cosy house,13.9294695848
got us settled,13.9294695848
nice helpful people,13.9294695848
