name,count
bronx,47.440799143
avec,27.053287817
dr,24.1543533275
zoo,23.3044209523
sejour,22.6637278349
memorable,21.7787091262
prepared food,20.1304469727
stations,19.4434671593
lots shops,19.3818046945
bronx zoo,19.3342313901
notre,19.0247021836
long notre sejour,18.6283588614
au long notre,18.4097910859
long notre,18.4097910859
alimentation,18.4097910859
snacks,18.2271764519
midnight,18.1309822679
dans,18.0355252114
hammock,17.7966529123
father,17.4585673035
botanical garden,17.419049881
made memorable,17.2384997767
parkway,17.2384997767
famille,17.0338208124
birthday,16.9305842515
host thought,16.8923805992
notre sejour,16.5286808371
botanical,16.2529948416
internship,16.1029022184
markets,15.9564930565
memorable one,15.5362806349
tout au long,15.4023283225
au long,15.4023283225
market,15.2443149833
tout au,14.893593238
cooking,14.4242438039
stations metro,14.423291241
won,14.2685266377
avons,13.9646685169
must,13.8902233924
felt home,13.7430894272
une famille,13.6771043808
many different,13.6771043808
des commerces,13.6771043808
quartier,13.6703823389
stay new,13.5982367009
entrance,13.5982367009
tout,13.5266439085
des,13.4555955532
une,13.3150994667
private entrance,13.101753234
