name,count
master suite,34.4162885854
suite,28.0349934111
nothing,22.3271045554
driveway,21.8274127626
master,21.378472303
artwork,18.1560993192
nothing short amazing,17.2081442927
spotless,16.622795057
house rules,16.570482992
nice layout,16.3646835206
confortable,16.2697538406
short amazing,16.1726755987
big hug,15.9871776886
photographer,15.8077627856
bulb,15.3023269873
manhattan mais,15.3023269873
flat,15.1952062317
get center,15.1437169166
several,15.0388703071
donc,14.8732185781
center city,14.8396573457
guest,14.6575310754
endroit,14.6070061673
end,14.5828322965
block,14.2168005629
second,14.0737484787
friend,14.0737484787
sleep,14.0737484787
gallery,13.8915726537
furniture,13.7772601466
sitting area,13.7686087306
extra time,13.6483475313
premises,13.6483475313
rules,13.6209221539
vraiment,13.5438558933
first experience airbnb,13.316906048
stay nothing,13.1921113582
gracious enough,13.1921113582
several hours,12.9775087821
overhead,12.8732834536
hug,12.7710063767
enough give,12.5720148363
center,12.5346480852
pret,12.4751686921
relaxing,12.3336381253
first experience,12.3336381253
nothing short,12.2864719136
etait,12.2677141046
experience airbnb,12.1374336477
felt like home,11.9458102405
sejour,11.9458102405
