name,count
ferry,80.6401332532
staten island,64.2919952591
staten,64.2919952591
island,47.7665006722
une,31.7657261088
avec,25.816324791
qui,22.8293251273
basement,20.4241858028
notre,20.4241858028
um,18.3905062838
park,17.4621108463
st,16.9284297262
nj,16.5353450697
puis,16.3945667598
muito,15.9626379925
island ferry,15.606984258
end,14.8509592337
end using,14.4075138135
bus ferry,14.4075138135
st station,14.3672443101
plein,13.8717048482
noise neighborhood,13.8376562728
atmosphere,13.6901129264
manhattan free,13.6628175834
ton accueil,13.3324579421
etait,13.3261591149
marathon,13.3218014873
basement apartment,13.3218014873
drove,13.184638202
weekends,13.148110612
employees,13.0249004741
liberty,12.9788174498
sejour,12.976481736
text,12.9081623955
sundays,12.878729505
du,12.7730745034
bus service,12.7371996765
saturday,12.4179252242
apartment answered questions,11.8553290801
notre sejour,11.8297024305
petites attentions,11.6323918694
fridge,11.5825579723
recommend anyone looking,11.5539222022
montree,11.5249694388
cuisine,11.4201832895
mile walk,11.4200748308
terms,11.3543037149
eine gute,11.3175918081
per day,11.3175918081
apartment answered,11.2174119707
terribly,11.2174119707
