name,count
chinatown,50.9013387984
east,24.0624768345
lower east,22.0107393984
little italy,21.3700868754
lower east side,21.2499894338
soho,20.5707131002
italy,19.1836073979
east side,18.518461109
bars,18.1564484002
lower,17.7203702658
side,14.5879171712
flat,12.098298685
china,9.55124835772
cool,9.44349737102
bridge,9.20090805348
chinatown little,8.9210097335
chinatown little italy,8.6862846128
building,8.65719860438
noise,8.42848220606
keys,8.20703422009
nolita,7.82224891131
appartment,7.65912656986
apt,7.51133473773
stay apartment,7.4694243462
flexible,7.25047913055
loft,7.15718685792
village,7.11048905203
shops,6.95050733652
stations,6.88865922523
recommendations,6.65841883121
bars restaurants,6.65682204428
responsive,6.26184297131
noisy,6.18059256253
eat,6.16577263723
dans,6.14248853358
key,6.09658547816
restaurants bars,6.07939289037
apartment location,6.0787668905
floor,5.88682346101
location perfect,5.82709310737
corner,5.78192300187
une,5.7623653219
cafes,5.69292935739
friend,5.63932057065
stairs,5.61944670642
luggage,5.54789226907
east village,5.53802036071
sleep,5.45622574693
heart,5.37759849195
avons,5.31996374872
tips,5.24343983854
