name,count
bronx,55.661594417
dogs,14.9285795313
roommate,14.4793764557
line,13.4269062351
cats,12.0648070037
room large,12.0592888127
hot,11.8060740272
ele,10.7504824753
animals,10.6600727866
com,10.4672518958
big room,10.1246215405
bananas,9.90979130446
lines,9.83072455603
downtown,9.78816899958
room big,9.75774160727
generous,9.67473925676
room spacious,9.57276710814
building,9.52236784362
pets,9.48907870429
30,9.39832416927
ja,9.35415376458
trains,9.32454625988
internet,9.22782287206
flat,9.1325013219
different,8.94590520884
fast,8.80935209962
room clean,8.45849175234
sleep,8.45849175234
cold,8.33195257555
se,8.159990588
voce,7.92783304357
keys,7.91117490679
muito,7.85043892188
fine,7.75099266548
20,7.59508246388
og,7.32803409965
place room,7.31830620545
bought,7.27674461885
strongly recommend,7.19478495112
small breakfast,6.98817338467
huge,6.92227804345
otimo,6.87733143465
velmi,6.8053711074
strongly,6.76950155048
leave,6.74767063854
wifi,6.67946295715
express,6.58903515085
groceries,6.58903515085
probably,6.44982617117
friendly people,6.38816006585
shelf,6.37208716956
