name,count
garden,94.1680991324
apt,35.8384095511
bronx,34.9234124278
stairs,29.4275309789
hell,26.0996230313
party,23.6736166742
house three,21.6837064608
one single,21.1944452822
thought,20.1635435801
27,19.8964464413
hours night,19.5102415493
beautiful garden,19.3245050779
back apt,19.1433551641
public transportation,19.0613438287
apt beautiful,18.6252906555
blessed,17.8356907108
apologized,17.8356907108
quiet host,17.6874796346
rented,17.0822510012
middle,16.9893871747
isn,16.9893871747
change,16.8973004605
basement,16.8059779602
difficult,16.8059779602
single,16.8059779602
helpful house,16.4732328171
beware,16.4732328171
half block away,16.3499324566
stayed home,16.2286702122
24h,15.6507180342
plants,15.540397177
not one,15.540397177
choice,15.5199679202
held,15.4317107631
new city,15.359318379
half,15.2798646177
wife,14.8148250773
touch,14.8148250773
half block,14.7129070133
accessible,14.6640789099
refund,14.6157373973
middle night,14.5198380088
leave,14.5153699153
soon,14.5153699153
neat,14.4417622955
block,14.2960078715
everyone,14.2238482809
cups,14.1483055192
break,14.0582896812
us time,13.8815052533
hello,13.7088808475
