name,count
ferry,114.731397595
staten island,87.462630283
staten,87.462630283
island,63.2782573692
der,27.1934609636
fur,24.5798460379
sehr,24.0440847961
uns,21.4913232467
avons,20.4680738283
man,18.6376448166
une,18.5401978325
war,18.2256366004
sur,18.0686501473
dog,18.0686501473
staten island ferry,18.0094222513
island ferry,17.5789284621
auch,17.2400075165
mit,17.0990233307
nicht,15.9989441674
hat,14.9616454144
dans,14.8695444776
je,13.233323541
im,13.1831140914
zimmer,12.9380665449
sir,12.9199216881
ferry terminal,12.5910949999
statue,12.196275564
auf,12.1130787762
sejour,11.9585958976
das,11.6914795071
vom,11.5219771446
bei,11.4933383444
se,11.4679258856
einen,11.4438530153
liebe,11.3699439812
haben,11.234934062
den,11.1092993295
bus ferry,11.0644805407
du,10.7902154201
wieder,10.6476230969
au,10.5708376371
agreable,10.5135410616
bon,10.4003665707
waren,10.2850355362
vom flughafen,10.1187408061
eine,9.77826704463
flughafen,9.74354900328
unterkunft,9.63310625972
new city,9.55660490468
gratuit,9.4749533177
gerne wieder,9.15567063364
