name,count
half bath,58.7610197734
bath,39.8383729299
fruit,34.7638305128
smoker,32.793831256
garage,31.7448578273
end staying,30.6199347925
half,30.084448483
accessible,28.8720311045
wonderful one,28.8102122367
parking garage,26.7888979235
relaxing,24.4189315453
cash,23.7882575593
mini fridge,22.948057295
due,22.446850341
basket,21.7261263835
weekend,21.6540233284
directions,21.217762754
also left,21.1632385515
room clean,20.8980856173
bronx,20.6281592472
right across,19.2799280611
40 minutes,19.2799280611
checked us,18.7184991415
juice,18.6096223096
recomend,18.6096223096
mini,18.3950974068
guide,17.9783862788
feels like,17.7758915311
separate,17.6760460909
ever using airbnb,17.5062002905
hours late due,17.5062002905
area easily accessible,17.5062002905
first choice stay,17.5062002905
unobtrusive host,17.5062002905
justice beautiful,17.5062002905
fruit juice,17.5062002905
pleasant always,17.5062002905
airbnb made experience,17.5062002905
stated would,17.5062002905
unreservedly,17.5062002905
surround sound,17.5062002905
basic cable,17.5062002905
card,17.4790742357
place easily accessible,17.265423905
due unforeseen circumstances,17.265423905
wifi everything,17.265423905
park playground,17.265423905
negative experience,17.265423905
cozy relaxing,17.265423905
fruit bowl,17.265423905
took manhattan,17.265423905
