name,count
shops,25.5061214949
bars,16.8181390752
heights,13.4711609333
bridge,12.7528401239
decorated,10.7254123092
een,10.0595168067
restaurants bars,9.30505304624
flat,9.1753503231
shops restaurants,9.08267682152
across,9.04811531657
restaurants shops,8.74040245413
court,8.63012678361
townhouse,8.5050707057
bridge park,8.42520412876
steps,8.29156410694
stay apartment,8.22311389573
charming,8.00481491524
couldn,7.9982855077
cute,7.73607968418
dog,7.64296143366
fabulous,7.52591262585
across street,7.40155837883
cafe,7.38797443577
cafes,7.23475973633
apt,7.23377350839
responsive,6.99849981924
equipped,6.97733366358
tips,6.94425565597
promenade,6.90790863949
eat,6.80163239864
light,6.76619781864
st,6.49477141355
perfect location,6.48067945365
cats,6.41721926118
block,6.22801249573
bars restaurants,6.20721414189
location perfect,6.13420740699
corner,6.08532095971
het,5.97655000917
park,5.92129631384
building,5.81526329677
keys,5.78589014855
restaurant,5.75440477667
beautifully,5.74031303039
easy access,5.55337092346
host apartment,5.51071513877
adorable,5.49789309725
gracious,5.46903948557
apartment location,5.31087795236
good restaurants,5.29363174952
floor,5.28698747957
