name,count
view,75.9401874576
brand new,54.4479747204
brand,54.1146340669
wife,49.6444982155
group,46.298407855
owner,45.0534833047
property,42.7109568475
makes,39.1114750589
lots shopping,38.1342020101
55,38.1342020101
high end,35.2703683779
flushing,35.2703683779
taxi,32.894230967
makes sure,29.7797741811
pot,29.5817823898
houses,28.4465941825
apartment spotless,28.0868161762
balcony,27.7356051321
views,25.4866679174
queens,25.1916547439
turned,23.9325827189
turned good,23.8360303317
distance find,23.8360303317
production,23.8360303317
neighborhood view,23.8360303317
away time square,23.8360303317
beautiful hardwood floors,23.8360303317
three place,23.8360303317
wife accommodating,23.8360303317
small blocks,23.8360303317
beautiful hardwood,23.8360303317
renting,23.7990961339
one easily,23.5081948715
clean comfortable big,23.5081948715
communicate made sure,23.5081948715
quite satisfied,23.5081948715
good chinese,23.5081948715
accommodating considerate,23.5081948715
gorgeous,23.2769117986
fit,23.2769117986
everything need lovely,23.194314162
hotel better,23.194314162
size family,23.194314162
made decision,23.194314162
food highly,23.194314162
even iron,23.194314162
visit back,23.194314162
televisions,23.194314162
view awesome,23.194314162
provide everything need,23.194314162
pictures not place,23.194314162
