name,count
view,35.2880119745
assistant,31.6617105921
bars,18.9871280469
views,17.1870640951
rooftop,16.3865280001
skyline,15.7369317956
15,14.4245017595
deck,14.0154828307
du,13.8313314656
shops,13.8218762769
bridge,13.5825836903
terrasse,13.13845806
gardens,12.9231664029
sur,12.2617701551
vue,11.7344855064
hook,11.0425284995
appartment,10.9907457824
une,10.8404355137
och,10.4616108976
bridge park,10.3764866709
noise,10.1880574931
statue,9.84342552006
roof,9.84033931032
avec,9.74197163154
stay apartment,9.48992900012
industrial,9.42759112066
flat,9.34311405147
view manhattan,9.23083314492
park,9.1679308173
noisy,9.13392607678
qui,8.98936310799
garden,8.91872934902
beds,8.87565171622
responsive,8.65356054819
der,8.60683218891
highway,8.60501141429
waterfront,8.53506328641
light,8.44290153429
terrace,8.05350115561
tout,8.04771569562
dans,8.04771569562
des,8.00544527232
restaurants bars,7.9498054447
liberty,7.9498054447
avons,7.87103971211
manhattan skyline,7.8240708761
wohnung,7.58252827725
loft,7.23310400234
streets,7.08045947759
court,6.91447964743
cool,6.87594811298
