name,count
staten island,95.192456662
staten,95.192456662
ferry,85.6622406288
island,61.8838194546
express bus,19.4010367506
lake,19.3778003059
staten island ferry,17.4440145373
island ferry,17.0270361461
marathon,16.9562500774
hospital,16.2063698487
bus ferry,15.7184280078
start,14.0826532567
hostess,13.8624133329
lovely home,13.1401547397
directions,12.7006382806
bathroom clean,12.653530387
room comfortable,11.8178188603
apartamento,11.7705540948
line,11.1696101439
hospitable,11.056880128
house nice,11.0216781002
express,10.9626078519
room clean,10.9456237494
ferry manhattan,10.9091660284
house room,10.3827379701
waiting,10.3425708219
get manhattan,10.288731937
private bathroom,9.91933048476
accessible,9.72133304539
studio,9.70023362561
rotation,9.51810197047
house clean,9.47732582404
por,9.38571798344
basement,9.28439430734
recommend house,9.08809869454
four,9.0866767238
hasta,8.86699589933
comfortable stay,8.75542779771
stay house,8.66400833307
willing,8.66400833307
university,8.65117848198
comfortable bed,8.57394328079
helpful room,8.50271908936
excellent host,8.39771993239
staying place,8.22646128808
patient,8.2108260683
wife,8.18438997944
medical,8.12920843803
nice clean,8.05989525678
place nice,8.05989525678
every morning,8.02553036674
