name,count
stadium,45.3314266918
bronx,36.420138278
building,21.2302429998
hot,17.1663884665
living room,16.7331464907
rats,14.9024304839
floor,14.7419654322
wasn,14.151976918
apartement,13.2700609766
dans,12.9227566086
cold,12.7206564163
ce,12.5219641081
avons,12.3882812142
du,11.8741219847
never felt,11.5075782543
yankees,11.4407416044
didn meet,9.68728329525
tout,9.23054043468
budget,9.15561093412
either,8.71589279816
keys,8.62731556846
bad,8.58319423325
problems,8.53937613986
je,8.53078136627
mais,8.48542178822
ok,8.45263320325
qui,8.39576439
unfortunately,8.35145562355
even though,8.32469230468
20,8.28260959418
des,8.26385152889
everyone,8.24080283788
sleep,8.19926844022
stay apartment,8.0925565177
toilet,8.04883772823
bathroom kitchen,8.00467809313
instructions,7.91748954277
private room,7.83176641577
nice clean,7.60736988293
du metro,7.4914339643
room big,7.44872688965
avec,7.38443234774
qu,7.32300434364
trouve,7.23821507816
vous,7.16070081213
take shower,7.15801348553
flat,7.08209757119
не,7.05174518694
simple,7.00923338922
water shower,6.99991065062
told,6.90185245476
