name,count
coney,111.563566422
coney island,101.137873303
island,62.1431923201
boardwalk,60.9483690531
beach,53.3142206742
wife,41.6413784194
penthouse,38.5763869385
legs,26.1759005695
couch,24.1389406573
blanket,22.9366603878
park,20.1936279818
ocean,20.1779895927
beautiful views,19.458149669
view,18.957731116
wife nice,18.1928531105
views,17.8149983306
blankets,17.5072064868
sleep,16.5744841316
notice made,16.2126594741
apartment along,16.2126594741
clean wife,15.6054725505
comfortable sofa bed,15.2370922633
terrace,15.2048086682
gated,14.729620838
yet,14.6938766168
cupcakes,14.5709889208
host house,14.2720291334
truly,13.5998908388
neat,13.5309256247
taller,13.4519930618
like home also,13.4519930618
extremely clean,13.2835325581
overall stay,13.2835325581
still,13.2595873052
responsive,13.2595873052
apartment beautiful,13.2065896765
privacy well,13.2064642521
two blocks,13.054963332
smell,13.054963332
tennis,12.9720997793
away walk,12.7479283509
sofa,12.4071963089
comfortable sofa,12.1285687403
short notice,11.9384045502
recommend place enough,11.9376161496
place extremely clean,11.9376161496
stretch,11.4890611432
place enough,11.403850434
section,11.403850434
along,11.3144617449
accommodated,11.3144617449
