name,count
really clean really,68.9015572911
everyone feel,68.9015572911
sure stay went,68.9015572911
expected house,68.9015572911
environment nice,67.9539005956
perfect amazing host,67.9539005956
house truly,67.9539005956
family pleasant,67.9539005956
next time family,67.0465821626
available overall,67.0465821626
nice perk,66.1763076404
blocks away close,66.1763076404
went beyond expected,66.1763076404
garden would,66.1763076404
needed stay would,65.3401704599
house everything needed,65.3401704599
clean also location,64.5355932635
spacious clean also,64.5355932635
pleasant stay host,63.7602799912
welcome available,63.7602799912
wonderful stay home,63.7602799912
absolutely amazing host,63.7602799912
accommodate family,63.7602799912
visit absolutely,63.7602799912
nice amazing,63.7602799912
property exactly,63.0121763785
scratch,63.0121763785
anyone everything,63.0121763785
guide area,62.2894371534
overall experience definitely,62.2894371534
ireland,62.2894371534
staying property,62.2894371534
property,61.7311565566
looking spacious,61.5903986149
recommend house anyone,61.5903986149
truly fantastic,61.5903986149
amazing accommodating,60.9135555654
nice quiet,60.7657372592
stay went smoothly,60.257541795
kitchen easy,60.257541795
described wonderful,60.257541795
make meals,60.257541795
accommodating house,59.6211134787
home went,59.6211134787
offered many,59.6211134787
definitely recommend house,59.0031349821
cook nice,59.0031349821
block close,59.0031349821
city feel,59.0031349821
stay host accommodating,58.4025666664
someplace,58.4025666664
