name,count
fruit,38.058911132
getaway,37.1683338992
bronx,30.1111919305
forward,27.4466625796
beyond,26.3405492097
left water,24.8660596148
look forward,24.1503713774
extend,23.6283436051
went beyond,23.2610361228
feel comfortable,22.5366364174
usual,21.8896306199
issues,21.619666808
look,21.3984982382
shared,21.2890632343
extra,20.647895884
room always,20.6319056998
book,20.5435173204
extended,20.3735305125
room clean,20.3368046388
forward next visit,20.2553275062
water coffee,20.2553275062
room family,19.5520510898
kitchen bathroom,18.7159578979
look forward next,18.6021123691
respectful,18.3104492959
time using airbnb,18.112778533
let check,18.0268298038
outstanding host,17.8893194251
home away home,17.7270544153
cable,17.7270544153
make feel,17.6325521526
taxi,17.6325521526
home away,17.5387969511
always available,17.5387969511
first time using,17.4457770921
using airbnb,17.4457770921
privacy room,17.2355051782
away home,17.1710164357
time using,17.1710164357
extend stay,17.1109884712
forward next,17.1109884712
ms,16.9884023338
house near,16.9884023338
goes,16.902477313
stay extra,16.7487886185
quarto,16.7487886185
wonderful time,16.726770822
book room,16.5162233971
boyfriend,16.4679975478
make feel comfortable,16.4024567224
already,16.2985665059
