name,count
per,63.9635393945
ce,41.050310457
dans,39.3381989787
brother,34.6027455432
circa,33.5947996625
abbastanza,33.0286598321
cui,32.2213694935
cooking,31.461449901
tour,31.2909209987
noi,31.2145837942
ever needed,30.7378545311
gave keys,30.2772887321
kids,29.8171644164
sejour,29.6598039054
piano,29.4005077563
bagno,29.1898773366
abbiamo,27.8003792888
front house,27.4281535405
traveling,27.1553752484
gave us tour,26.8882656795
however,26.4737704079
appartamento,26.3690155994
ils,26.3690155994
annoying,26.3690155994
us tour,25.8688834193
bronx,25.8688834193
paying,25.3865112112
quite nice,24.6187707985
constantly,23.6119850992
meet us,23.474061174
ma,23.474061174
ha,23.0684970288
particularly,22.9359555879
dining,22.2919776885
every couple days,21.9537695537
apartment specious,21.9537695537
per poter,21.9537695537
attrezzato,21.9537695537
metro per,21.9537695537
commerces du metro,21.9537695537
lives next door,21.9537695537
accommodation excellent,21.9537695537
us property,21.9537695537
prevenants,21.9537695537
da,21.6771492445
speaks spanish,21.6518222897
lo abbiamo,21.6518222897
needed appreciated,21.6518222897
opposite end,21.6518222897
expect neighborhood,21.6518222897
du proprietaire,21.6518222897
