name,count
staten island,91.1858026742
staten,91.1858026742
island,64.668138793
ferry,38.3065740019
deck,30.8403375601
neat,26.4013163678
house clean,26.1348593676
family truly,26.0072670134
reve,23.5114863561
living room,22.2314083293
friend,20.6975084522
us ride,19.4009319372
use kitchen,19.3669715776
comfortable bathroom clean,19.0853274173
dog,18.7370725426
gave us privacy,18.2066134076
everything needed make,18.0690564893
enjoyed staying,18.0414703839
avons,18.0414703839
bathroom clean,17.9452919814
room spacious,17.568063604
space two,17.4144775838
une,17.2022681667
time staying,16.7600822494
us privacy,16.6933789589
last minute,16.6735562469
needed make,16.4666911864
provide us,16.4666911864
cousin,16.3556979264
voyage,16.1382013414
notes,15.5189047889
place us,15.5189047889
очень,15.2262585834
helpful made,15.1310280783
information needed,15.1310280783
also gave us,14.5821642185
comfortable bathroom,14.407225073
etre,14.2360083209
house really,13.5854008971
paid,13.5076526231
us use,13.5076526231
also gave,13.430648363
room large,13.278815863
company,13.278815863
made feel like,13.0563072045
comfortable wonderful stay,13.0036335067
helpful left us,13.0036335067
staying future visits,13.0036335067
house clean organized,13.0036335067
plan new,13.0036335067
private area,13.0036335067
