name,count
ferry,111.554978904
staten island,47.2318399734
staten,47.2318399734
island,30.7050239055
wife,27.4334049494
bus ferry,24.6969766029
studio,20.3214929444
contact,20.2620816259
hat,19.8784646197
fur,19.8784646197
room clean,19.6547327221
first airbnb experience,18.8339631556
staten island ferry,18.2721587966
hard,18.1506539952
first airbnb,18.0559637442
island ferry,17.8353846032
dem,17.7082616606
affordable,17.6840897312
airbnb experience,17.3227667715
beds,16.7993048686
den,16.5313442781
responsive,16.3789439351
safe quiet,16.3477604992
dann,15.6370712366
met wife,15.4213644272
ferry manhattan,15.2360962998
main house,15.2360962998
der,14.9872593378
gps,14.8846250841
family emergency,14.717583495
deck,14.6432744116
contact arrival,14.555845719
vorher,14.555845719
immediately,14.4447709954
stay apartment,14.3695778565
neighborhood safe,14.294935588
hatten,13.9319269175
us nicely,13.8162432588
bathroom private,13.8162432588
checked,13.7872122652
stunde,13.6803868867
15,13.5771300993
place affordable,13.5480596536
usd,13.5480596536
fridge,13.236341673
ways,13.2036172232
bit hard,13.1705305191
ten,13.0507827675
map,12.975496759
clean neighborhood safe,12.9335430435
aber,12.8271140762
