name,count
beach,103.961371405
hospital,89.4861434264
rockaway,76.253892586
st,46.1900668089
stat,34.7757000088
boardwalk,32.683135694
medical,30.8046425339
ocean,28.8541479566
jfk,28.4646612009
building,24.0140225538
students,23.7586329454
airport,21.7675920682
student,21.7425921919
fees,19.8305887815
weeks,19.8022570143
queens,18.8851763837
household items,17.8689189606
surf,17.6231538232
mo,16.7366505408
complex,16.5223642515
johns,15.9728442268
ideal,15.8418056115
wow,15.6923513278
last minute,15.2746243429
recommend anyone,15.1959221569
pick airport,15.146112394
genuine,14.7595480332
think,14.7351217132
clean spacious quiet,14.5635946239
ll meet,14.5635946239
highly recommend anyone,14.0821751456
owners,13.9211369237
caveat,13.9123951604
failed,13.9123951604
places check,13.5555742472
find spot,13.4415742242
communicative,13.3065441076
place close,13.1597578359
amenities need,13.1130337063
outside building,12.9043747836
modern,12.87375681
block away,12.8037715183
building safe,12.8029259697
humble,12.8029259697
location minute,12.7033051623
welcome arrived,12.6054476478
regardless,12.6054476478
looking place,12.5972909479
quiet building,12.5092920898
made feel welcome,12.4624390686
convenient location,12.2641856155
