name,count
deck,140.091957983
feel comfortable everything,118.137778181
stars really,118.137778181
house clean beautiful,118.137778181
checked often,116.512937453
appreciated friendly,114.957260223
linens nice,114.957260223
everything ok would,113.465098036
whole house clean,113.465098036
often make sure,112.031467322
middle class,112.031467322
often make,110.651948976
stay neighborhood nice,109.322606201
inviting would,109.322606201
cozy lot,109.322606201
private nice,108.039916779
recommend place future,106.800716831
positive first,106.800716831
back deck,105.602153793
mornings evenings,104.441646873
neighborhood nice,104.18819939
nice linens,103.316853583
advertised spacious,102.225641276
need house,101.166062808
show everything,101.166062808
location proximity,100.136335626
experience enjoyable,98.1600220201
future host,97.2105427242
safe thank,96.2851034802
really enjoyed place,94.501681603
took around,93.6415737395
return next time,92.8012402328
place whole,92.8012402328
ok would,92.8012402328
available everything,91.9797922329
primarily,91.1763995051
soon stay,89.6207222752
us cool,89.6207222752
comfortable two people,88.8670275804
us short notice,88.1285600876
convenient travel,87.4047166788
welcoming made us,87.4047166788
home spacious,87.4047166788
good us,85.9986626527
everything excellent,84.6446968401
space available,83.9860682527
comfortable everything need,83.9860682527
neighborhood nice safe,83.9860682527
enjoyed place,80.2656158449
us short,79.1051089249
whole house,78.5383859813
