name,count
bronx,78.783264532
botanical,49.8291252778
botanical gardens,38.5373896228
university,37.7421760589
campus,32.9242219001
daughter,31.4203889212
italy,29.5076325485
gardens,26.7786095061
little italy,22.4634360286
suggestions,19.8702038271
flexible,18.511956547
botanical garden,17.8013555286
zoo,15.8772640909
north,14.7761325691
central,13.750913048
hostess,13.6073334151
professional,12.837740138
garden,12.7663804245
italian,12.1976576504
explore,11.5196006178
top,11.4590942067
luggage,11.3990444521
gate,11.3226528177
wanting,11.1943109947
incredibly,11.1054113255
throughout,10.7667834246
casa,10.7117205424
accommodations,10.7117205424
room big,10.6239077595
accurate,10.4952022917
gracious,10.4952022917
listing airbnb,10.2861305857
private entrance,10.0419785648
clean thoughtfully,10.0092062729
colleges,10.0092062729
sure key,10.0092062729
bronx zoo,9.87928529966
friendly host,9.77394789393
grand central,9.70325974306
world class,9.51860294538
convenience,9.46338660521
robes,9.4069205429
comfortable place stay,9.38698962642
completely,9.26445654725
considerate,9.21568049421
visit new,9.11923556164
organized,9.11923556164
recommended made,9.0936230126
hospital,9.09037667677
across,9.07155561005
arrived time,8.99568845823
