name,count
greene,63.1437824136
fort,36.3617701084
park,15.9778427811
shops,14.4804540174
bars,14.4028720663
cafes,11.5435205413
lines,10.7570978572
brownstone,10.4113893323
atlantic,8.87221867257
flat,8.52435585856
stations,7.86640425947
building,7.77722806679
block,7.65214996785
responsive,7.62849876076
garden,7.58735277433
view,7.50506560627
ft,7.37178580221
corner,6.90460751125
studio,6.88344895661
restaurants bars,6.76306859821
charming,6.62032209984
several,6.61251180917
stay apartment,6.49372881118
green,6.34982015782
keys,6.06215974949
light,6.04246768769
floor,6.03695838516
apt,5.96333925839
cool,5.90367750219
flea,5.68635275231
subways,5.61981223148
eat,5.55265529991
photos,5.52891421597
bam,5.49659252432
weekend,5.47230548496
flexible,5.44206222558
market,5.41455674883
dans,5.3449675517
easy access,5.27810087564
decorated,5.26693478818
coffee shops,5.2608079294
perfectly,5.13039709332
shops restaurants,5.1232278139
couldn,5.06788379211
center,4.97294660503
around corner,4.95460475298
old,4.95383953227
bridge,4.89161364866
15,4.83663363569
barclays,4.7815613826
equipped,4.74674392798
