name,count
linens,57.7846148506
despite,52.1563750596
linens towels,50.7848168374
receive,44.2872484228
beautiful home,42.4593392987
ample,41.233543978
bathroom thank,39.0146663621
ample street,39.0146663621
walk shopping,39.0146663621
arrival let,39.0146663621
pope,39.0146663621
store good,39.0146663621
courteous,38.9542126966
location perfect access,38.4780673177
room ensuite,38.4780673177
cereal coffee,38.4780673177
definitely something,38.4780673177
little treats,38.4780673177
wonderful stay thank,38.4780673177
stayed neighborhood,38.4780673177
hour drive,38.4780673177
free ask,38.4780673177
ask also,37.9643093223
responsive professional,37.9643093223
stay noise,37.9643093223
clean accommodation,37.9643093223
staying highly recommended,37.9643093223
comfortable wife,37.4715269897
friendly welcoming felt,37.4715269897
checked stay make,36.9980745104
first bnb experience,36.9980745104
experience host made,36.9980745104
around grocery,36.9980745104
condition room,36.9980745104
family really nice,36.9980745104
location perfect,36.8716307859
provides towels,36.542492487
necessary,36.475835337
clean provides,36.1034808038
private bathroom shower,36.1034808038
first bnb,36.1034808038
still waited,36.1034808038
helpful telling us,36.1034808038
not hesitate come,35.6798762584
host couldn asked,35.6798762584
retro,35.6798762584
felt safe home,35.2706339881
recommend place visit,35.2706339881
well come,35.2706339881
getting lost,35.2706339881
home hospitality,35.2706339881
