name,count
big house,90.3939620417
een,34.2201385069
beach,33.1513076169
der,30.2561335018
goede,29.5759912497
fur,22.931686395
mit,22.931686395
point,21.6115239298
house perfect,21.2991833393
dem,20.4281523131
floor,19.9834475498
hot,19.779389753
contact,19.4785207025
alles,19.2861342944
dining,19.2861342944
bedrooms,19.0704669564
responsive,18.894658767
communicative,18.8586857285
zu,18.6506530384
dryer not,18.0117915945
ground floor,17.7973123343
house would,17.7973123343
een goede,17.5762760814
ac,17.4743180898
dining room,17.4469951731
least,17.3814042451
war,17.3814042451
man,16.8388368338
stocked cooking,16.4352658258
puisque,16.4352658258
parkway,16.2649127365
living room,16.2359590387
provide,16.0692393618
switched,15.9383414981
room dining room,15.7816183417
store,15.5036678444
unterkunft,15.5028764498
ground,15.5028764498
kleines,15.4801794442
heeft,15.3350666374
questions definitely,14.9200634316
minute drive,14.9200634316
staying house,14.8824588094
living room dining,14.7879956249
least one,14.7879956249
room dining,14.4087175751
deli,14.0656568461
dryer,13.9879897788
toilet,13.9110010352
uns,13.8346788691
per,13.8346788691
