name,count
ferry,108.098592211
staten island,64.1414093375
staten,64.1414093375
bus ferry,47.3488836914
island,44.1506048196
gas station,35.5116627685
gas,24.8812742252
sehr,21.4360977433
fridge,16.6534125077
room clean,16.4858427822
auf,16.1988162258
across,15.6592423616
mich,15.5168579956
knew,15.4159638667
aber,15.370037552
statue liberty,14.7889460245
across street,14.529414747
zu,14.529414747
statue,14.4978446777
warm welcome,14.4494460449
airport,14.4198872264
mit,14.2915738895
liberty,14.2178709858
das,14.2136469665
cookies,14.0369954615
terminal,13.9482054466
life,13.540632097
cats,13.4369454497
beiden,13.2455161859
sind,13.1941026619
longer,12.9137164027
zimmer,12.5833251599
open 24,12.5256711641
wife,12.3269874388
dvd,12.2438752986
greeted,12.0778194601
south,12.0195788728
house clean,11.8952946483
however,11.8952946483
house bed,11.8372209228
felt like,11.7756019873
newark,11.6376434967
room bathroom,11.3709175732
met lot,11.3690256679
take ferry,11.2253781087
south ferry,11.2253781087
ferry manhattan,10.9539544537
bus stop,10.8325056776
microwave,10.8325056776
mich sehr,10.8254309764
view,10.7750537239
