name,count
coney island,24.9097053269
coney,24.7297468953
ready,17.319532668
muito,17.0493692104
first airbnb,16.2006362687
wine,16.1697347062
lock,15.9848239733
ready help,15.8936978853
airbnb experience,15.5427784199
island,15.3055285643
note,14.7018188987
first airbnb experience,14.0822440951
always ready,13.7218538226
host friendly,13.6426612734
lock door,12.9273169185
wife,12.8200548414
left us,12.5003502344
apartamento,12.2916225797
right next,12.223298509
fruit,12.223298509
chocolates,12.1890576644
acclimated,11.9792682071
hosts apartment spacious,11.9792682071
two weeks place,11.674382219
must visit,11.3921018841
hockey,11.2584375938
все,11.0189520666
bem,11.0189520666
us fruit,11.0044073866
vacation,10.9716242563
always ready help,10.9488461304
очень,10.8111632726
tive,10.7662647578
beach,10.7435463637
living room,10.5233724538
casa,10.2560438731
host first,10.2296215262
guest,10.2036857095
absolutely recommend,10.0482233663
looks,9.99777904467
bottle,9.98901493886
weeks place,9.93945706841
coming city,9.84766849654
another,9.84692098983
sweet would,9.75803985748
nice area close,9.67047183054
living house,9.58487179197
apartment spacious,9.5362187312
mom,9.5362187312
laid,9.48206133883
location minute walk,9.33904189234
