name,count
staten island,94.5322509575
staten,94.5322509575
island,61.4546252511
absolutely gorgeous,57.7276408569
het,46.0087672618
ferry,43.6836351355
american,42.8690745996
stay perfect,38.2897425579
toiletries,37.6434732032
clean comfortable could,37.0723561388
visit wife,37.0723561388
arrival let,37.0723561388
enter house,37.0723561388
bedroom wonderful,37.0723561388
bus ferry,37.0723561388
us arrived,37.0149121049
easily location,36.5624711972
everything went perfect,36.5624711972
could breakfast,36.5624711972
expectations everything,36.5624711972
greeted us made,36.5624711972
trouble parking,36.5624711972
bedroom like,36.5624711972
would given,36.5624711972
warm welcome,36.2027549052
gorgeous,36.2027549052
fresh towels toiletries,36.0742901835
snacks waiting,36.0742901835
opened home us,36.0742901835
arrival throughout stay,36.0742901835
away visit,36.0742901835
perfect host thank,35.606040578
arrived warm,35.606040578
met family,35.606040578
found neighbourhood,35.606040578
run morning,35.606040578
perfect stay perfect,35.606040578
booking hotel,35.606040578
time enjoying,35.1561585063
warmth hospitality,35.1561585063
kind make,35.1561585063
information well,35.1561585063
us far,35.1561585063
questions lovely,35.1561585063
point stay,35.1561585063
wonderful week new,34.723257226
pictures spacious clean,34.723257226
comfortable immediately,34.3061013462
make stay better,34.3061013462
anything make stay,34.3061013462
arrival throughout,34.3061013462
