name,count
williamsburg,28.7453389847
bars,24.6095593494
loft,22.4404414632
view,17.1085058627
shops,15.4485563696
ferry,15.1777612455
cool,13.0728306668
flat,11.4097986009
cafes,10.6807300611
river,10.2712003933
east river,9.92061815155
bedford,9.3297124042
rooftop,9.30809151234
restaurants bars,8.94802192713
building,8.86534318592
park,8.66161188291
bars restaurants,8.63187820903
roof,8.31869829811
east,8.03335081224
studio,7.69280212664
light,7.27840485023
decorated,7.18395482853
fun,6.92887383082
responsive,6.90182786835
views,6.87113533224
skyline,6.52028420872
couldn,6.51713582323
view manhattan,6.51417757662
apt,6.45905946725
block,6.37764840996
stay apartment,6.35290522218
keys,6.26210883796
line,5.74991111513
flexible,5.70863695222
polish,5.69974936179
cute,5.692683242
recommendations,5.60581939281
spot,5.58552074117
photos,5.5716101448
eat,5.56517501504
corner,5.42023422816
perfectly,5.36812583638
charming,5.28008350378
appartment,5.05030730223
weekend,5.04121059768
highly recommended,4.99223448551
15,4.97086812423
interesting,4.94217407491
quickly,4.94169067726
apartment perfect,4.88703030034
friend,4.77470714827
