name,count
ferry,114.771531284
staten island,99.3471460372
staten,99.3471460372
perfect host,87.2651761103
island,64.5847482487
good condition,49.6735730186
marathon,48.0328365792
arranged,40.011460034
condition,39.1184126958
hosts able,38.9605953731
bnb really,38.9605953731
descriptive,38.9605953731
helpful host even,38.424740009
stay made stay,38.424740009
nice homely,38.424740009
come sure,38.424740009
even went beyond,37.9116940383
needed one night,37.9116940383
homely feeling,37.9116940383
left even,37.9116940383
respond every,37.9116940383
exciting day,37.9116940383
chat bit,37.9116940383
sure perfect,37.9116940383
occur,37.4195946598
like real home,37.4195946598
really enjoyed days,37.4195946598
parking problem,37.4195946598
home guests,37.4195946598
ferry terminal,36.9467983451
good wi fi,36.9467983451
guest bathroom,36.9467983451
good wi,36.9467983451
day busy,36.9467983451
night come,36.4918477195
manhattan able,36.4918477195
really wonderful stay,36.4918477195
around hours,36.4918477195
meet even,36.4918477195
house nice,36.4252829506
nice person,36.2300630859
hospitable really,36.0534444688
arrived offered,36.0534444688
ferry manhattan,36.0534444688
accomodating would,36.0534444688
city though,35.6304270031
manhattan bit,35.6304270031
best airbnb ve,35.6304270031
problem arrived,35.6304270031
ve new,35.6304270031
place keep,35.6304270031
