name,count
square,57.3474350569
times square,44.229359967
central,22.238072909
central park,19.5636326001
time square,16.874320417
park,14.9167877438
hell,13.7576848484
building,13.1788433837
close times square,11.9488464823
close times,11.7732380092
broadway,11.5762768637
walk times square,11.3719667039
walk times,10.8254293148
apt,9.08508728154
bars,8.64189246337
floor,8.10488288683
location perfect,7.97968271313
lo,7.93266360209
todo,7.75052420119
apartamento,7.65471321337
perfect location,7.40976239054
apartment location,7.35717362314
9th,7.30192554542
flat,7.13209832655
noise,7.12543714335
departamento,7.07563576369
keys,6.830743053
stay apartment,6.7534934828
port authority,6.67474657233
appartment,6.61597525223
se,6.59529659797
authority,6.57962760832
responsive,6.24777957727
luggage,6.18061800076
friend,5.91423926129
view,5.89929448392
port,5.89351455176
attractions,5.81421316215
stairs,5.80554360158
recommend apartment,5.80531043109
flexible,5.79702445927
square central,5.76900646578
studio,5.76328772616
location apartment,5.66265381771
block,5.61277029206
por,5.57642169693
square central park,5.57454557368
sleep,5.49934764874
center,5.47757881156
couldn,5.45053687079
ideal,5.30155649626
