name,count
studio,72.7988493135
compact,48.666222584
basement studio,46.0373649799
private studio,44.4350382109
realy nice,40.8400285942
jamaica,37.6073860199
cockroaches,36.6663825035
basement,34.83901771
nice couple,33.3949603798
dish,32.9121249563
seemed like,32.4441483894
good people,32.4441483894
call away,31.9901433791
fully,31.840072996
seemed,31.6753642832
call,31.6753642832
december,31.3335793311
actually,31.1882555775
realy,30.2986196481
appeared,30.0998189295
partner,27.7273003265
texts,26.9050439487
avenue,25.9736485436
parents,25.8238144409
cable tv,25.6754421575
adequate,25.2388177645
loved stay location,24.5759431369
made certain,24.5759431369
boyfriend first,24.5759431369
burner,24.5759431369
stated would,24.5759431369
welcoming listing,24.5759431369
quite sure,24.5759431369
good accommodating,24.5759431369
didn felt,24.5759431369
configuration,24.5759431369
soap,24.5378624358
without air,24.2379310806
airbnb message,24.2379310806
pros good,24.2379310806
yet quite,24.2379310806
nice cozy everything,23.9143069552
keys come,23.9143069552
place also nice,23.9143069552
host made every,23.9143069552
host extremely kind,23.9143069552
text airbnb,23.9143069552
table two,23.9143069552
always best,23.9143069552
full kitchen bathroom,23.6038957248
like really nice,23.6038957248
