name,count
queens,87.7407937753
snacks,75.1700385154
blvd,68.980230495
wife,57.6361196368
long island,53.2878660326
expressway,52.4854299439
coffee shops,50.5081938046
stay queens,49.4733718778
parkway,47.395115222
wife welcoming,45.98682033
northern,45.98682033
island,45.8735050328
nice touch,45.4435561614
plenty parking,43.0914550787
room spacious,37.3866637819
restaurants coffee shops,37.329501163
away home,37.1898282864
restaurants coffee,36.5328643024
tea,34.5816717821
touch,34.5816717821
bright clean,33.8930949052
shops,33.7108457948
fruits,32.0001090457
machine,29.5894347619
decided,29.0782145802
sized,28.9111439447
hot water,28.0993993599
shops pubs,27.6730825216
gut um,27.6730825216
give highest recommendation,27.6730825216
many many restaurants,27.6730825216
definitely stay overall,27.6730825216
airport convenient,27.6730825216
tv small,27.6730825216
entered room,27.6730825216
stay breakfast,27.6730825216
fruit,27.4766178435
location long,27.292473099
couple time,27.292473099
neat clean room,27.292473099
comfortable bed lovely,27.292473099
entspricht der,27.292473099
private entry,27.292473099
immediately contacted,27.292473099
didn get time,26.9280648206
utilizing,26.9280648206
throughout stay room,26.9280648206
really comfortable nice,26.9280648206
shops laundry,26.9280648206
highways,26.5785345689
bus also,26.5785345689
