name,count
letto,218.031740462
alojamiento,187.33514039
casa,181.103280417
sempre,175.197580799
comodo,154.057745004
home inviting,144.923185192
letto comodo,142.929943934
varie,142.929943934
sempre molto,137.432388996
raggiungibile,134.109347138
extremely accurate,131.015669181
permanenza,131.015669181
camera da letto,129.545355656
camera da,129.545355656
inviting comfortable,128.121726721
por parte,125.40328564
fermate,125.40328564
todos servicios,124.103468689
clean would highly,122.840271214
da letto,122.840271214
principale,121.61168628
place cute clean,120.415867547
alrededores,119.251112581
inmejorable,119.251112581
answer questions stay,117.008618068
respecto,117.008618068
farmacia,117.008618068
strada,115.928070722
stay description,114.872950395
especialmente,114.872950395
seguridad,113.842087869
molto disponibile,110.884496648
abbastanza,109.015870231
puerta,108.109969825
dei,108.109969825
vicina,106.351291673
facilmente,106.351291673
servicios,105.49716023
condiciones,103.028249815
atencion,100.688212203
hizo sentir,99.9345718578
give advice,99.1933889503
supermercados,98.4642583329
gente,97.7467943071
ottima,97.7467943071
cada,97.7467943071
comfortable conveniently,97.0406293983
description place,96.3454132246
ambiente,95.6608114539
accurate place,95.6608114539
place cute,94.9865048376
