name,count
notre,78.7111614854
hijos,60.9336650881
ninos,59.5587858972
importantes,58.2698945155
manquait,54.3040426478
dans cuisine,53.2982067066
bar,51.3194433199
bello,50.545383955
avant notre,50.1203060627
fait,49.8941532134
apartamento,49.8941532134
children,49.6168121519
calle,47.0025968408
location location,46.291645444
mais,45.7301151194
jfk,45.4875780245
dans,44.7711756121
du,44.3026314806
poder,44.2950332674
internet,43.3863178893
menage,43.0638885548
ni,42.7672568561
viaje,41.9021419213
sus,41.9021419213
avant,41.6216539567
mis,38.764624341
thorough,37.8166160601
mejor,37.5862723522
notre arrivee,36.9102922062
notre sejour,36.4716469904
amazing place,36.4716469904
jfk airport,35.6214008245
cuisine,35.2090761324
hay,34.6056511792
oh,34.4083717084
arrivee,34.2129622133
gracias,33.6376072695
curtains not,33.3143898316
around next,33.3143898316
loin du centre,33.3143898316
excellent would recommend,33.3143898316
cuartos,33.3143898316
cleaning,33.0778747679
notre sejour agreable,32.8561911229
sorpresa,32.8561911229
families children,32.8561911229
centre,32.7129882976
host thorough,32.4174962491
sans problemes,32.4174962491
donne toutes informations,31.996712368
kids not,31.996712368
