name,count
noget,318.71292531
fa,245.151166807
og,200.527868109
det,196.606272374
var,189.196373773
like comfortable,161.578781278
bus go,161.578781278
stayin,161.578781278
shared rooms,159.356462655
hopped,159.356462655
definitely planning,155.18788774
clean blocks,151.340302288
get loud,149.522140572
venlig,147.767787336
fat,146.072915293
corner would definitely,144.433622953
corner definitely,142.846380525
housed,138.366315898
everything offer,138.366315898
corner,138.120005539
planning staying,136.957942846
hvis,136.957942846
kunne,136.957942846
recommend place someone,135.588160253
little grocery,134.254909585
eller,132.956292751
der var,131.690555851
var meget,131.690555851
space could,130.456074929
walk bus stop,130.456074929
manhattan queens,126.925624714
market right,126.925624714
super market,125.802118171
around corner would,124.703306091
people bed,124.703306091
place someone,121.544744055
stayed couple,121.544744055
night perfect,120.534731176
offer us,119.544719872
corner would,118.573933309
every corner,117.621639047
meget,116.687145724
friends time,113.984112464
5min walk,108.193223961
neighborhood calm,108.193223961
host time,105.903024897
bed large,105.903024897
walk bus,103.004013584
four people,98.948228197
alle,97.0373992864
rooms clean,97.0373992864
