name,count
jfk,69.3278435372
airport,59.4964326896
jfk airport,25.2064214424
flight,24.6187479873
jamaica,23.3093922666
ms,22.6641654793
close jfk,21.9123341499
near jfk,16.3053532496
close airport,13.3214153358
close jfk airport,12.6036909218
layover,12.0739090789
fridge,11.0794382226
taxi,10.6773439541
lirr,10.5595077274
snacks,10.5083532564
mrs,10.454949591
wife,10.2729413836
room clean,10.1020636871
one night,10.0240052675
queens,9.19925618831
bus stop,8.29732089616
mr,8.17140456823
near airport,8.05473255903
us airport,7.692363408
cab,7.5202290241
sleep,7.50439016756
friend,7.2157597765
basement,7.19784432376
due,6.82045967434
quickly,6.77434629634
short stay,6.72920467879
microwave,6.63785671693
picked,6.58340661723
arrived late,6.56772078523
stopover,6.48384580906
flexible,6.38203463978
waited,6.37503601149
next morning,6.31515512392
bottles,6.29077112749
simple,6.16847036083
even though,6.15395671825
wifi,6.15395671825
another,6.09194215616
studio,6.08780444808
helped us,5.9509865904
fine,5.9509865904
late night,5.83128327508
convenient jfk,5.8028145104
using,5.7726078212
guest,5.71145418154
15,5.68234705222
