name,count
studio,35.8890877442
wedding,17.3629163639
give,16.9535273563
milk,16.9526619527
cake,15.3934415779
husband,15.3754908431
showed us,14.1045276751
smell,13.5618538296
several,13.247116277
maid,13.0716378528
spacious house,12.9431032531
flexible,12.4597789627
expect,12.0067998518
washing,11.6455115987
question,11.5084735018
photos,10.8701428671
numbers,10.741636534
looks,10.5422223813
wasn,10.4888471922
care,10.4888471922
breakfast items,10.4305762325
got made,9.60998004983
refund,9.60229892171
war,9.50343219802
would get,9.47710326353
like pictures,9.40301845004
entrance,9.3533938859
put,8.96961723441
liquid,8.89298086729
living room,8.87715018411
upon,8.83141085137
gave us instructions,8.80246292206
house good,8.78739127786
jacket,8.7144252352
tea,8.65164111185
backyard,8.62935214102
fast,8.60747359008
weekend,8.56360755544
phone,8.56360755544
something,8.56360755544
wonderful house,8.54527172997
wanting,8.47633097637
might,8.43377790501
supplied,8.42638481084
appliances,8.27957868489
fresh,8.26465369381
queens,8.23162045993
paper,8.18413473748
host husband,8.15767294826
owners,8.09054418823
spacious home,8.08546373952
