name,count
nobody,63.8651082685
cups,61.4143121396
stay went without,51.4604102539
comfortable bad,51.4604102539
even water,51.4604102539
us get,51.0950677616
dirty,50.8120024912
poured,50.7526352159
get wanted go,50.7526352159
bed used,50.7526352159
changed sheets,50.7526352159
perfect amazing host,50.7526352159
soon met,50.7526352159
lady,50.5314312204
watching netflix,50.0749875598
basement room,50.0749875598
seems,49.9775975523
via message,49.425006838
knocking door,49.425006838
space anyone looking,49.425006838
helpful whatever,49.425006838
really old,49.425006838
couldn stayed,49.425006838
good internet connection,48.8005222251
basement,48.6337427408
big not,48.1996087736
not help,48.1996087736
near jfk,48.1996087736
clean bed sheets,48.1996087736
comfortable long day,47.6205516283
local bar,47.6205516283
rather,47.0925726469
microwave,47.0925726469
bathroom everything needed,47.0618165236
bit sketchy,47.0618165236
right home soon,47.0618165236
needed directions,47.0618165236
basics need,47.0618165236
didn host,47.0618165236
10 minutes,46.8428095372
guests neighborhood,46.5220252839
enjoyed watching,46.5220252839
block house,45.999935343
day enjoyed,45.999935343
stay queens,45.999935343
get wanted,45.4944225161
good responding,45.4944225161
back busy,45.4944225161
room okay,45.4944225161
boiling,45.4944225161
seemed bit,45.4944225161
