name,count
jfk,29.0037935227
parents,23.0901795645
dog,20.0533288126
gardens,20.0226310341
airport,17.8458797857
lirr,15.0540428531
beds,13.4526282832
jfk airport,12.9228686991
30,12.2416089878
everyone,11.4247903308
close jfk,11.0638378364
casa,10.9841270878
pizza,10.7888578403
family friendly,10.4899507816
staying family,10.1533963871
late night,9.71617299669
description,9.71617299669
fine,9.01420407601
however,8.83288454244
friend,8.74400641988
studio,8.67900960998
one night,8.54087227711
cute,8.49669034076
good time,8.21777889082
puppy,8.1962461232
queens,8.12845343072
accurate,8.07157696992
liked,7.63144492397
dogs,7.5759499775
bathrooms,7.52932721022
keys,7.36039350505
fue,7.34790493239
family kind,6.84353870983
mom,6.80880072773
mins,6.64290065998
friendly dog,6.61194082429
beds comfortable,6.58210642433
corner,6.57441954051
mother,6.54551920389
garden,6.54551920389
floor,6.47351069288
toilet,6.43768611322
fast,6.37469699074
safe area,6.33263015134
via,6.21443418281
halloween,6.2006482664
consider,6.1966359672
wonderful experience,6.06502946591
airports,6.06114939068
mais,6.03278069928
lga,5.97197314506
