name,count
neighborhood safe,24.3101666563
within walking distance,21.3824662959
within walking,21.3824662959
jewish,20.4346467176
hills,19.2050291256
family oriented,19.1647484043
dish soap,18.9847506228
oriented,16.1890807386
bus stop,16.0146500938
microwave,16.0146500938
unit,15.9297137952
flushing,15.5369439331
bring,15.5147464541
queens,14.7962286886
dvd,14.4809619886
adequate,14.377622722
helped us,14.3574909827
accurate,14.2845659762
beds,14.2845659762
dish,14.0616169114
soap,13.9783143489
safe quiet,13.9006146528
45,13.7472751094
ahead time,13.667702761
thank us,13.4793535291
mosquitoes,13.1128936183
quiet neighborhood safe,12.9553588387
cable,12.9492381693
minutes away,12.811720075
fiance,12.6934526304
private parking,12.6565004152
worked fine,12.531004331
stay queens,12.5144637882
close bus,12.2178066662
toilet paper,12.0666930292
basic things,11.9887614422
dvd player,11.9887614422
plan,11.9674198598
expense,11.866732837
worked,11.6634076831
45 minutes,11.6333595859
quiet family,11.6325282856
quiet neighborhood,11.6038647818
highly recommended,11.4859927862
fine,11.4859927862
park,11.3121382958
spotty,11.3033779274
permanently,11.3033779274
excuse,11.3033779274
public transportation,11.2549535466
television,11.227127719
