name,count
building,27.0127018125
empire,19.5890475546
empire state,18.2508678488
state,15.4040755939
state building,14.1795152296
empire state building,14.0310386303
view,13.2195538968
square,11.1025154045
apt,10.0439120817
bars,10.0380017453
central,9.9417338135
flat,9.72068012552
responsive,9.71514671625
keys,9.16484854412
studio,8.83242614336
appartment,8.12249813038
apartment location,7.72993056956
flexible,7.44953326123
stay apartment,7.43951321821
floor,7.08618886597
lo,7.05703024437
good location,6.75287579785
apartamento,6.6721881034
se,6.63534463316
worked,6.57546503929
wifi,6.37743032776
friend,6.36509612444
todo,6.09873222847
key,6.07217185
location perfect,6.0171085446
photos,5.86021565562
apartment perfect,5.5494917959
east,5.53830988208
une,5.52223293403
departamento,5.46328211128
dans,5.42139739693
shops,5.38430215483
situe,5.34290589767
park,5.27200907095
contact,5.26669450255
elevator,5.19251742608
midtown,5.1839223942
beds,5.15404302987
views,5.1198654733
avons,5.06159410631
noise,5.05906671241
quickly,5.04244170055
check check,5.01550877933
restaurants bars,4.99286626943
corner,4.99267463223
ha,4.9761187407
