name,count
jfk,59.6651888649
airport,45.0423989786
och,39.3790486358
jfk airport,37.7385445761
rail,36.1259212872
lirr,34.5417242509
hacia,34.5106257385
close jfk,33.8481863361
era,30.5458671791
fue,28.9026457323
basement,28.590626735
tva,28.3354096467
close jfk airport,27.666528502
flight,25.9943757443
mig,25.6426038288
husband,25.5946301688
ayudo,25.3671880086
bathroom living room,24.4252606089
30,24.0759026569
bastante,24.0693474066
jag,23.9794452464
distancia,23.7642552351
ta,22.7567941992
bathroom living,22.5676897223
queens,21.3152648745
att,20.8610955481
ar,20.404402377
att ta,19.3705281181
porque,19.1545013739
taxi,18.5550665629
tiempo,18.5260537833
det,18.4052733561
var,17.7115965591
close airport,17.638040702
came us,17.4517511819
living room,17.2401177046
trevlig,16.9240931681
casa,16.802161506
flights,16.461695556
esposo,16.4375947901
20,16.2137475059
travel,16.2137475059
sin embargo,15.9862968309
embargo,15.9862968309
sin,15.6228940964
autobus,15.565447357
attractions,15.4462784183
20 minutos,15.4312435719
parecio,14.9215534239
valdigt,14.9215534239
salir,14.5648714612
