name,count
staten island,148.555026453
staten,148.555026453
ferry,109.836353327
minute drive,109.833232013
island,96.5743795094
drive,82.2067079267
responsive,74.1823991894
responsive needs,63.3312800966
equipped,58.2419589236
hosts accommodating,55.9799290004
trader joes,46.6066113192
warm pleasant,46.6066113192
needs gave,46.6066113192
hosts family,46.6066113192
beautiful safe neighborhood,45.9655943522
like looks pictures,45.9655943522
book without hesitation,45.3518631216
new return,45.3518631216
sir,45.3518631216
public transport would,45.3518631216
privacy two,45.3518631216
clean accommodation,45.3518631216
needed cooking,45.3518631216
free easy,44.7631892513
space around,44.7631892513
really peaceful,44.7631892513
drive around,44.7631892513
meet greet,44.7631892513
well amenities,44.7631892513
come back later,44.1976066707
home ideal,44.1976066707
many stay,44.1976066707
stayed well,44.1976066707
host attentive needs,44.1976066707
fifteen minute,44.1976066707
accommodation nice,44.1976066707
location perfect,44.0465579994
apartment exactly,43.8091820535
day trips,43.6533719953
around hours,43.6533719953
even enjoyed,43.6533719953
public transport,43.5737438921
well equipped,43.3402121334
apartment months,43.1289321168
ferry manhattan,43.1289321168
house kitchen,43.1289321168
bus stop,42.6507526572
neighbourhood beautiful,42.6228974831
manhattan public,42.6228974831
swimming,42.6228974831
location perfect want,42.1340199095
