name,count
little italy,67.0062066555
italy,59.7902412876
soho,45.2462215098
chinatown,44.0407778408
nolita,19.525233385
loft,18.4482900627
chinatown little italy,11.9379871882
chinatown little,11.7979179892
flat,10.7852663083
stairs,10.731875747
building,10.3085485933
keys,9.78085778924
cool,9.71949585262
appartment,9.24052341961
bars,9.10200760254
heart,9.09268746579
stations,9.09268746579
middle,8.82739282938
noise,8.81419057906
floor,8.80408395658
responsive,8.74061744283
apartment location,8.10687830452
china,7.93784945044
shops,7.78684898558
stay apartment,7.45531108155
shopping,7.41270976647
lines,7.2561570622
beds,7.11503404864
location apartment,7.0807311486
couldn,7.07573792991
une,6.91863562047
apartment perfect,6.80972593991
canal,6.69376075844
friend,6.65951805168
east,6.56708667129
recommend apartment,6.44991738863
dans,6.40379533829
perfect location,6.26624319077
fun,6.2132818836
photos,6.13128398729
bedrooms,6.12635127094
wifi,6.05707712554
apt,6.02297144989
key,5.96088112993
location perfect,5.93123540051
og,5.84160764221
cafes,5.82947671085
situe,5.66457965118
equipped,5.66421859466
hot,5.51898222044
avons,5.48242978033
