name,count
beach,125.248341641
studio,80.7746205945
очень,30.2487888134
для,28.8299569153
across street,25.3669273201
view,23.5152283699
coney island,23.2318020685
coney,23.0639655322
across,22.7829125601
pick us,22.5757549924
еще,22.1220596623
раз,21.6778870721
из,21.2571030863
ocean,20.8573673019
на,20.6858354945
все,20.5534437324
bus stop,19.7005084889
нью,18.6559856189
спасибо,18.2238236243
island,17.8431963311
stay studio,17.4238515514
stop across street,17.2221850209
beautiful safe neighborhood,16.9853149183
stop across,16.5409993474
нью иорка,16.3320039372
иорка,16.3320039372
до,16.2462777629
boardwalk,15.7501136814
pick,15.5938815313
right across street,15.3170073376
studio apartment,15.2201206987
stay studio apartment,14.9025056596
пешком,14.9025056596
был,14.7480397748
pick us airport,14.5979256257
issues,14.5706149857
все необходимое,14.4519247147
необходимое,14.4519247147
photos,14.4215580134
right across,14.2253522787
not feel,14.2253522787
spring summer,14.1714020575
driveway,14.1714020575
nice clean,14.1295561915
came pick,14.0364910567
park,13.9156881492
day stayed,13.9049115346
us park,13.9049115346
absolutely safe,13.6511159549
us walk,13.5286117115
bicycle,13.4088606068
