name,count
snacks,35.4683485396
drinks,33.3839420805
linens,29.5775696078
beverages,27.5734903758
bronx,24.4363962127
toiletries,18.717832294
fridge,18.5242871378
snacks drinks,18.5149714361
hotel,16.8418357452
immaculate,15.838442096
target,15.4686884708
think,15.2009769877
block,14.8194297103
drinks snacks,14.745747435
fresh,14.6703138599
text,14.4510526125
stocked,13.8593949797
provides,13.6511859728
complimentary,13.5757756737
line,13.0992055796
soft,12.1061560995
towels linens,11.9975356942
flat,11.8794814112
fabulous,11.8319107475
toiletry,11.7187209462
condo,11.6715269616
keys,11.5771389923
mother,11.439362062
late night,11.1145722827
long hours,11.0593105763
broadway,10.9297559316
north,10.5921662813
super clean,10.4318672175
working,10.0551267427
highly recommend staying,10.0028957393
item,9.98426283528
apt,9.9510446011
harlem,9.90577072399
sheets,9.79771610939
recommend staying place,9.74111843815
past,9.74111843815
keep,9.50061061732
makes,9.45227483846
hotels,9.41197327435
asked,9.35657541401
forgotten,9.32485246535
requirements,9.32485246535
book,9.26214356892
fresh linens,9.19116345861
exactly described,9.16894616242
couldn,9.16894616242
