name,count
ferry,133.874473643
staten,62.6393536035
staten island,60.6818738034
island,41.9938608148
bus ferry,24.5650389319
snacks,22.2424916728
staten island ferry,18.174544173
terminal,18.0911450869
island ferry,17.7401033409
ferry terminal,17.4714900606
fridge,16.0456111895
juice,14.6887774068
take ferry,14.5595750505
direkt,14.4729160695
hotel,13.7154799946
drinks,13.3462813676
statue,13.162827918
liberty,12.9086352701
30,12.2185825182
stay apartment,12.0595599858
croissants,11.5491315833
bagels,11.4246046497
dans,11.0043105246
decorated,10.6639262438
apt,10.6086485794
das,10.3238401716
milk,10.0252233982
view,9.78284573518
sehr,9.73109010685
food drinks,9.59080253142
statue liberty,9.59080253142
на,9.22045376435
im,9.14648991282
bagels juice,9.0851913186
wife,8.95349718592
equipped,8.95349718592
pleasure,8.9077886577
tour,8.75319715216
south ferry,8.73574503031
felt like,8.55300776274
ferry manhattan,8.52451937521
propre,8.47506960151
thoughtful,8.47506960151
bus stop,8.43000625214
drove,8.43000625214
war,8.43000625214
der,8.38529634444
would not,8.3409343773
man,8.16686027124
upon arrival,8.12415981683
drive,8.12415981683
